Name,Age,garbage_disposal,importance_of_clean_surrounding,dental_care,sickness_prevention,clean_nails,message,study_material,likes_learning,learn_with_others,message,touch_private_parts_without_consent,approach_grownup_when_feeling_unsafe,speakup_if_touched_inappropriately,say_no_if_inappropriate_touch,physical_contact_if_uncomfortable,message
Nirvi Sami,7,No,No,Yes,No,No,Keep your nails clean for good hygiene and overall well-being.,Yes,Yes,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,Yes,No,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Parinaaz Buch,6,Yes,No,No,No,Yes,Take care of your teeth for a healthy smile and overall well-being.,Yes,Yes,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,Yes,Yes,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Neelofar Handa,7,Yes,Yes,Yes,No,Yes,Take care of your teeth for a healthy smile and overall well-being.,Yes,No,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,No,No,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Kavya Uppal,6,No,Yes,Yes,Yes,Yes,Proper garbage disposal is important for maintaining cleanliness and preventing pollution. Remember to dispose of garbage properly for a healthier environment.,No,No,Yes,Try making notes of your own. They would help you understand the concepts even if you do not have study material!,No,No,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Trisha Chowdhury,7,No,Yes,Yes,No,Yes,Proper garbage disposal is important for maintaining cleanliness and preventing pollution. Remember to dispose of garbage properly for a healthier environment.,Yes,No,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,Yes,No,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Mannat Dar,9,No,Yes,No,Yes,Yes,Take care of your teeth for a healthy smile and overall well-being.,Yes,No,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,No,Yes,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Yasmin Cherian,7,No,Yes,No,Yes,No,Keep your nails clean for good hygiene and overall well-being.,Yes,No,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,Yes,Yes,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Anay Datta,7,Yes,No,Yes,Yes,Yes,A clean environment is important for staying healthy. Remember the importance of cleanliness for overall well-being.,No,No,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,Yes,No,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Ranbir Ganesan,6,No,Yes,Yes,Yes,No,Keep your nails clean for good hygiene and overall well-being.,Yes,Yes,Yes,Be your own teacher! Try to learn on your own and never give up.,No,No,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Anay Deshpande,8,No,No,No,No,No,Keep your nails clean for good hygiene and overall well-being.,Yes,No,Yes,Try learning on your own. Don't let your curiosity and willingness to learn go away.,Yes,No,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Drishya Bandi,9,Yes,No,No,Yes,Yes,Take care of your teeth for a healthy smile and overall well-being.,No,Yes,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,Yes,No,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Lakshit Kakar,6,No,No,Yes,Yes,Yes,A clean environment is important for staying healthy. Remember the importance of cleanliness for overall well-being.,No,Yes,Yes,Try making notes of your own. They would help you understand the concepts even if you do not have study material!,No,No,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Ayesha Khanna,6,Yes,Yes,Yes,Yes,No,Keep your nails clean for good hygiene and overall well-being.,Yes,Yes,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,No,No,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Vivaan Bhat,10,No,Yes,Yes,No,No,Keep your nails clean for good hygiene and overall well-being.,Yes,No,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,No,No,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Shalv Joshi,6,Yes,No,Yes,No,No,Keep your nails clean for good hygiene and overall well-being.,Yes,Yes,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,Yes,No,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Vanya Suresh,9,No,No,No,No,Yes,Take care of your teeth for a healthy smile and overall well-being.,No,No,Yes,Try making notes of your own. They would help you understand the concepts even if you do not have study material!,Yes,Yes,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Miraan Kade,5,No,Yes,Yes,Yes,Yes,Proper garbage disposal is important for maintaining cleanliness and preventing pollution. Remember to dispose of garbage properly for a healthier environment.,Yes,No,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,No,No,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Mahika Vohra,5,No,No,No,No,No,Keep your nails clean for good hygiene and overall well-being.,No,No,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,Yes,Yes,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Anvi Rama,10,No,No,Yes,No,No,Keep your nails clean for good hygiene and overall well-being.,Yes,Yes,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,No,No,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Prisha Devi,10,No,No,No,Yes,No,Keep your nails clean for good hygiene and overall well-being.,Yes,Yes,Yes,Try learning on your own. Don't let your curiosity and willingness to learn go away.,No,No,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Ishita Boase,6,No,Yes,No,Yes,Yes,Take care of your teeth for a healthy smile and overall well-being.,No,No,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,No,Yes,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Pranay Buch,8,Yes,No,Yes,Yes,No,Keep your nails clean for good hygiene and overall well-being.,Yes,No,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,No,No,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Mohanlal Raju,8,Yes,Yes,No,Yes,No,Keep your nails clean for good hygiene and overall well-being.,Yes,No,Yes,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,Yes,Yes,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Saanvi Kulkarni,9,Yes,Yes,Yes,Yes,No,Keep your nails clean for good hygiene and overall well-being.,Yes,Yes,Yes,Be your own teacher! Try to learn on your own and never give up.,No,No,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Tejas Bhattacharyya,7,No,Yes,Yes,No,No,Keep your nails clean for good hygiene and overall well-being.,No,No,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,No,No,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Ivan Devan,5,No,Yes,No,No,No,Keep your nails clean for good hygiene and overall well-being.,No,Yes,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,No,No,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Saanvi Aurora,8,Yes,Yes,No,Yes,Yes,Take care of your teeth for a healthy smile and overall well-being.,Yes,No,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,Yes,No,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Zaina Warrior,6,No,No,Yes,Yes,Yes,A clean environment is important for staying healthy. Remember the importance of cleanliness for overall well-being.,Yes,No,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,No,Yes,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Hansh Dara,10,Yes,No,No,No,Yes,Take care of your teeth for a healthy smile and overall well-being.,No,Yes,Yes,Try making notes of your own. They would help you understand the concepts even if you do not have study material!,No,Yes,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Sahil Varty,7,No,Yes,Yes,Yes,Yes,Proper garbage disposal is important for maintaining cleanliness and preventing pollution. Remember to dispose of garbage properly for a healthier environment.,Yes,Yes,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,No,Yes,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Bhavin Khurana,10,No,No,No,No,Yes,Take care of your teeth for a healthy smile and overall well-being.,Yes,Yes,Yes,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,Yes,Yes,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Veer Goel,8,Yes,Yes,Yes,No,Yes,Take care of your teeth for a healthy smile and overall well-being.,Yes,No,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,Yes,No,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Keya Chander,6,Yes,No,No,Yes,Yes,Take care of your teeth for a healthy smile and overall well-being.,Yes,Yes,Yes,Be your own teacher! Try to learn on your own and never give up.,No,Yes,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Anay Borah,5,No,No,Yes,No,Yes,A clean environment is important for staying healthy. Remember the importance of cleanliness for overall well-being.,No,No,Yes,Try making notes of your own. They would help you understand the concepts even if you do not have study material!,Yes,No,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Anahita Thaman,7,Yes,Yes,Yes,Yes,Yes,A clean environment is important for staying healthy. Remember the importance of cleanliness for overall well-being.,No,Yes,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,No,No,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Piya Mallick,6,No,Yes,Yes,No,Yes,Proper garbage disposal is important for maintaining cleanliness and preventing pollution. Remember to dispose of garbage properly for a healthier environment.,No,Yes,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,No,No,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Pranay Chokshi,9,No,No,Yes,No,Yes,A clean environment is important for staying healthy. Remember the importance of cleanliness for overall well-being.,No,Yes,Yes,Try making notes of your own. They would help you understand the concepts even if you do not have study material!,No,No,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Yakshit Dutt,10,No,No,Yes,No,Yes,A clean environment is important for staying healthy. Remember the importance of cleanliness for overall well-being.,Yes,No,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,No,Yes,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Yuvraj  Goyal,6,No,No,Yes,No,No,Keep your nails clean for good hygiene and overall well-being.,Yes,Yes,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,No,Yes,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Rati Yogi,10,No,No,Yes,No,Yes,A clean environment is important for staying healthy. Remember the importance of cleanliness for overall well-being.,Yes,No,Yes,Be your own teacher! Try to learn on your own and never give up.,No,Yes,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Pranay Chacko,10,No,No,No,No,Yes,Take care of your teeth for a healthy smile and overall well-being.,Yes,Yes,Yes,Be your own teacher! Try to learn on your own and never give up.,No,Yes,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Indrajit Kalita,7,Yes,Yes,Yes,Yes,No,Keep your nails clean for good hygiene and overall well-being.,Yes,No,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,Yes,No,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Veer Deshmukh,9,No,No,No,Yes,No,Keep your nails clean for good hygiene and overall well-being.,No,No,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,Yes,Yes,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Rania Bahl,10,No,Yes,No,No,Yes,Take care of your teeth for a healthy smile and overall well-being.,No,No,Yes,Try making notes of your own. They would help you understand the concepts even if you do not have study material!,No,Yes,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Zaina Babu,8,No,No,No,No,Yes,Take care of your teeth for a healthy smile and overall well-being.,No,No,Yes,Try making notes of your own. They would help you understand the concepts even if you do not have study material!,Yes,No,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Vaibhav Bhargava,9,No,Yes,No,No,No,Keep your nails clean for good hygiene and overall well-being.,No,No,Yes,Try making notes of your own. They would help you understand the concepts even if you do not have study material!,No,Yes,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Aarav Loyal,8,Yes,No,No,No,No,Keep your nails clean for good hygiene and overall well-being.,Yes,Yes,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,Yes,Yes,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Zoya Yadav,8,No,No,No,Yes,Yes,Take care of your teeth for a healthy smile and overall well-being.,No,Yes,Yes,Try making notes of your own. They would help you understand the concepts even if you do not have study material!,No,Yes,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Kavya Shroff,5,Yes,Yes,No,Yes,Yes,Take care of your teeth for a healthy smile and overall well-being.,Yes,Yes,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,Yes,Yes,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Reyansh Arya,5,Yes,Yes,Yes,No,No,Keep your nails clean for good hygiene and overall well-being.,Yes,Yes,Yes,Be your own teacher! Try to learn on your own and never give up.,Yes,Yes,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Shray Chhabra,9,Yes,No,No,No,Yes,Take care of your teeth for a healthy smile and overall well-being.,No,No,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,No,Yes,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Aradhya Sidhu,7,Yes,Yes,No,No,Yes,Take care of your teeth for a healthy smile and overall well-being.,Yes,No,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,No,Yes,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Lakshit Choudhary,9,Yes,Yes,Yes,No,Yes,Take care of your teeth for a healthy smile and overall well-being.,No,Yes,Yes,Try making notes of your own. They would help you understand the concepts even if you do not have study material!,Yes,Yes,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Alisha Issac,10,Yes,No,No,Yes,No,Keep your nails clean for good hygiene and overall well-being.,No,No,Yes,Try making notes of your own. They would help you understand the concepts even if you do not have study material!,No,No,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Trisha Lata,10,Yes,Yes,Yes,Yes,Yes,Keep your nails clean for good hygiene and overall well-being.,Yes,No,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,Yes,No,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Akarsh Mahajan,7,No,Yes,No,Yes,Yes,Take care of your teeth for a healthy smile and overall well-being.,No,Yes,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,Yes,Yes,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Gatik Kurian,10,Yes,No,No,No,No,Keep your nails clean for good hygiene and overall well-being.,Yes,No,Yes,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,Yes,Yes,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Seher Bawa,8,No,Yes,No,Yes,Yes,Take care of your teeth for a healthy smile and overall well-being.,Yes,No,Yes,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,Yes,No,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Lagan Dugar,6,No,No,Yes,No,No,Keep your nails clean for good hygiene and overall well-being.,No,No,Yes,Try making notes of your own. They would help you understand the concepts even if you do not have study material!,Yes,No,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Mishti Ravi,9,No,No,Yes,No,No,Keep your nails clean for good hygiene and overall well-being.,Yes,No,Yes,Try learning on your own. Don't let your curiosity and willingness to learn go away.,No,No,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Divit Randhawa,10,No,Yes,Yes,No,Yes,Proper garbage disposal is important for maintaining cleanliness and preventing pollution. Remember to dispose of garbage properly for a healthier environment.,Yes,Yes,Yes,Be your own teacher! Try to learn on your own and never give up.,Yes,Yes,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Fateh Dara,10,No,No,Yes,Yes,Yes,A clean environment is important for staying healthy. Remember the importance of cleanliness for overall well-being.,Yes,Yes,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,Yes,Yes,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Piya Dyal,7,Yes,Yes,Yes,Yes,Yes,A clean environment is important for staying healthy. Remember the importance of cleanliness for overall well-being.,Yes,No,Yes,Try learning on your own. Don't let your curiosity and willingness to learn go away.,Yes,Yes,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Oorja Sibal,9,No,No,No,Yes,No,Keep your nails clean for good hygiene and overall well-being.,Yes,Yes,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,No,Yes,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Prisha Sur,7,Yes,Yes,Yes,Yes,Yes,Keep your nails clean for good hygiene and overall well-being.,Yes,Yes,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,No,No,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Charvi Bahl,9,Yes,No,Yes,No,Yes,A clean environment is important for staying healthy. Remember the importance of cleanliness for overall well-being.,No,No,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,No,Yes,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Jiya Sachdeva,5,Yes,Yes,No,Yes,No,Keep your nails clean for good hygiene and overall well-being.,No,No,Yes,Try making notes of your own. They would help you understand the concepts even if you do not have study material!,No,Yes,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Kiara Varty,6,Yes,No,No,Yes,No,Keep your nails clean for good hygiene and overall well-being.,No,No,Yes,Try making notes of your own. They would help you understand the concepts even if you do not have study material!,Yes,No,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Samaira Butala,9,Yes,No,Yes,Yes,Yes,A clean environment is important for staying healthy. Remember the importance of cleanliness for overall well-being.,Yes,Yes,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,No,No,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Elakshi Sagar,8,Yes,No,Yes,Yes,No,Keep your nails clean for good hygiene and overall well-being.,Yes,No,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,Yes,No,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Nakul Khalsa,8,No,No,No,Yes,No,Keep your nails clean for good hygiene and overall well-being.,No,Yes,Yes,Try making notes of your own. They would help you understand the concepts even if you do not have study material!,No,No,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Reyansh Lala,5,No,Yes,No,Yes,No,Keep your nails clean for good hygiene and overall well-being.,No,Yes,Yes,Try making notes of your own. They would help you understand the concepts even if you do not have study material!,Yes,Yes,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Krish Walia,10,No,No,No,No,Yes,Take care of your teeth for a healthy smile and overall well-being.,No,Yes,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,Yes,No,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Reyansh Dhingra,10,Yes,Yes,No,No,No,Keep your nails clean for good hygiene and overall well-being.,Yes,No,Yes,Be your own teacher! Try to learn on your own and never give up.,No,No,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Shlok Das,6,Yes,Yes,No,Yes,Yes,Take care of your teeth for a healthy smile and overall well-being.,No,Yes,Yes,Try making notes of your own. They would help you understand the concepts even if you do not have study material!,Yes,No,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Vidur Das,7,Yes,No,No,No,No,Keep your nails clean for good hygiene and overall well-being.,Yes,No,Yes,Be your own teacher! Try to learn on your own and never give up.,No,Yes,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Samar Bala,10,No,Yes,Yes,No,Yes,Proper garbage disposal is important for maintaining cleanliness and preventing pollution. Remember to dispose of garbage properly for a healthier environment.,Yes,No,Yes,Be your own teacher! Try to learn on your own and never give up.,Yes,Yes,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Nitya Choudhury,8,Yes,No,No,Yes,Yes,Take care of your teeth for a healthy smile and overall well-being.,Yes,Yes,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,Yes,No,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Renee Sharma,7,No,Yes,Yes,Yes,Yes,Proper garbage disposal is important for maintaining cleanliness and preventing pollution. Remember to dispose of garbage properly for a healthier environment.,No,No,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,Yes,No,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Saanvi Batta,8,Yes,Yes,No,No,Yes,Take care of your teeth for a healthy smile and overall well-being.,No,Yes,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,Yes,Yes,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Kismat Dalal,6,Yes,Yes,Yes,Yes,No,Keep your nails clean for good hygiene and overall well-being.,Yes,Yes,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,No,No,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Lakshit Babu,5,No,No,No,Yes,No,Keep your nails clean for good hygiene and overall well-being.,No,Yes,Yes,Try making notes of your own. They would help you understand the concepts even if you do not have study material!,No,Yes,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Tanya Contractor,8,No,Yes,No,No,No,Keep your nails clean for good hygiene and overall well-being.,No,No,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,Yes,No,No,No,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Anay Kunda,10,No,Yes,No,No,Yes,Take care of your teeth for a healthy smile and overall well-being.,Yes,Yes,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,No,No,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
Mishti Tripathi,10,Yes,Yes,Yes,No,No,Keep your nails clean for good hygiene and overall well-being.,No,Yes,No,Knowledge increases when you share it with others. Make learning enjoyable by studying with your friends.,Yes,Yes,No,Yes,No,It's okay to set boundaries with physical contact. You have the right to feel comfortable and safe.
